timestamp,action,call_ltp,put_ltp,long_call_ltp,long_put_ltp,call_strike,put_strike,long_call_strike,long_put_strike,expiry,target_days,expiry_mode,structure,notes,realized,reason
2024-11-11 09:15:00+05:30,OPEN,346.55,240.9,,,24000.0,24000.0,,,2024-11-19T00:00:00,8.0,NEXT_WEEK,STRANGLE,weekly_entry,,
2024-11-12 15:29:00+05:30,CLOSE,294.9,218.95,,,,,,,,,,,,7360.000000000015,target_hit
2024-11-14 09:15:00+05:30,OPEN,303.5,218.45,,,23600.0,23600.0,,,2024-11-26T00:00:00,12.0,NEXT_WEEK,STRANGLE,weekly_entry,,
2024-11-14 15:29:00+05:30,CLOSE,272.9,196.0,,,,,,,,,,,,5305.000000000007,hard_exit
2024-11-18 09:15:00+05:30,OPEN,244.35,219.65,,,23600.0,23600.0,,,2024-11-26T00:00:00,8.0,NEXT_WEEK,STRANGLE,weekly_entry,,
2024-11-19 15:29:00+05:30,CLOSE,245.55,199.85,,,,,,,,,,,,1860.0,trailing_lock
2024-11-21 09:15:00+05:30,OPEN,189.0,241.65,,,23450.0,23450.0,,,2024-12-03T00:00:00,12.0,NEXT_WEEK,STRANGLE,weekly_entry,,
2024-11-21 15:29:00+05:30,CLOSE,193.2,194.0,,,,,,,,,,,,4345.0,hard_exit
2024-12-02 09:15:00+05:30,OPEN,437.5,262.8,,,24050.0,24050.0,,,2024-12-10T00:00:00,8.0,NEXT_WEEK,STRANGLE,weekly_entry,,
2024-12-05 15:29:00+05:30,CLOSE,363.05,282.1,,,,,,,,,,,,5514.999999999993,hard_exit
2024-12-09 09:15:00+05:30,OPEN,351.35,264.5,,,24650.0,24650.0,,,2024-12-17T00:00:00,8.0,NEXT_WEEK,STRANGLE,weekly_entry,,
2024-12-11 15:29:00+05:30,CLOSE,298.1,211.0,,,,,,,,,,,,10675.0,target_hit
2024-12-12 09:15:00+05:30,OPEN,282.6,211.6,,,24650.0,24650.0,,,2024-12-24T00:00:00,12.0,NEXT_WEEK,STRANGLE,weekly_entry,,
2024-12-12 15:29:00+05:30,CLOSE,300.85,201.0,,,,,,,,,,,,-764.9999999999927,hard_exit
2024-12-17 09:15:00+05:30,OPEN,267.7,215.95,,,24600.0,24600.0,,,2024-12-24T00:00:00,7.0,NEXT_WEEK,STRANGLE,weekly_entry,,
2024-12-18 15:29:00+05:30,CLOSE,239.0,174.75,,,,,,,,,,,,6990.0,target_hit
